Chromosome	Start_Range	End_Range	Count_of_GC	Normalized_Amount_GC	N_Percentage
1	7942320	7954178	4541	0.38291592883	0.0
1	7987434	7990349	1428	0.489711934156	0.0
1	7990710	8026828	15664	0.433677565824	0.0
1	8027004	8035350	3643	0.43644423146	0.0
1	8043196	8050203	3077	0.439069634703	0.0
1	8053815	8057015	1539	0.480787253983	0.0
1	9353588	9371295	8726	0.492771628642	0.0
1	9371971	9379270	3742	0.512602739726	0.0
1	9380943	9380980	21	0.552631578947	0.0
1	9800152	9810651	4936	0.470095238095	0.0
1	9813043	9831765	9591	0.512257651017	0.0
1	9832679	9858124	12477	0.490332468757	0.0
1	10592549	10596266	1795	0.482786444325	0.0
1	10597856	10611334	6371	0.472661176645	0.0
1	11609540	11620225	5732	0.536402769979	0.0
1	11777088	11797653	10308	0.501215598561	0.0
1	11802722	11829507	14410	0.537967595012	0.0
1	11829830	11840767	5959	0.544797952094	0.0
1	11849458	11868772	10117	0.523789800673	0.0
1	11868839	11896837	14555	0.519839994286	0.0
1	11897945	11928541	15719	0.513743177436	0.0
1	11935586	11936632	580	0.553963705826	0.0
1	11937082	11960354	12523	0.538091350492	0.0
1	11971974	11990576	8414	0.452292640972	0.0
1	13382062	13382062	0	0.0	0.0
1	13455729	13459451	1718	0.461455815203	0.0
1	14046538	14051850	2153	0.405232448711	0.0
1	14109086	14109596	234	0.457925636008	0.0
1	14112739	14127889	6521	0.430400633622	0.0
1	14138704	14170732	13846	0.432295731993	0.0
1	14170734	14214816	17737	0.402354649184	0.0
1	14219515	14221417	803	0.421965317919	0.0
1	14230633	14234357	1583	0.424966442953	0.0
1	14237544	14245219	3115	0.405810317874	0.0
1	14246092	14260046	6118	0.43840917234	0.0
1	14270330	14292709	9126	0.407774798928	0.0
1	14296026	14350413	24149	0.444013385306	0.0
1	14417107	14492599	30557	0.404766004795	0.0
1	14493415	14514508	9227	0.437422963876	0.0
1	14514510	14572658	23596	0.40578513818	0.0
1	15291729	15314162	10924	0.486939466881	0.0
1	15315055	15323504	4279	0.506390532544	0.0
1	15528831	15579478	24125	0.476326804612	0.0
1	15581896	15586646	2321	0.488528730794	0.0
1	15587118	15594075	3349	0.48131647025	0.0
1	15611928	15618161	2959	0.4746551171	0.0
1	15620551	15642114	11288	0.523465034316	0.0
1	16346288	16360105	7459	0.539803155305	0.0
1	16364456	16368743	2353	0.548740671642	0.0
1	16369522	16389003	10962	0.562673236834	0.0
1	16407231	16422154	7744	0.518895738408	0.0
1	16430348	16437837	4101	0.547530040053	0.0
1	17375144	17378276	1515	0.483562081072	0.0
1	17379706	17396288	7657	0.46173792438	0.0
1	17396290	17406690	4607	0.442938179021	0.0
1	17408549	17438002	13496	0.458206016161	0.0
1	17440424	17443301	1498	0.520500347464	0.0
1	17443303	17450324	3445	0.490600968385	0.0
1	17713453	17735187	10374	0.47729468599	0.0
1	17736590	17737909	663	0.502272727273	0.0
1	17813811	17863968	26774	0.533793213446	0.0
1	17867524	17897636	16480	0.54727194235	0.0
1	17897638	17904040	3415	0.533343745119	0.0
1	17910126	17932358	12328	0.55449107183	0.0
1	17933746	17944600	5690	0.524182404422	0.0
1	17944613	17955420	5894	0.545336787565	0.0
1	18162608	18174412	5506	0.466412537061	0.0
1	18746433	18755583	4534	0.495464976505	0.0
1	18800491	18819938	9942	0.511209378856	0.0
1	18827572	18857270	14482	0.487625845988	0.0
1	18858970	18868707	4672	0.4797699733	0.0
1	18868709	18873685	2695	0.541490857947	0.0
1	18881700	18897510	7601	0.480741256088	0.0
1	18897512	18916276	10206	0.543884892086	0.0
1	19142429	19143216	428	0.543147208122	0.0
1	19143218	19150678	4274	0.572845463075	0.0
1	19153386	19216436	33471	0.530855973736	0.0
1	19253476	19266486	5713	0.439090000769	0.0
1	19288034	19298535	4166	0.396686345458	0.0
1	19299713	19305988	3266	0.52039515615	0.0
1	19309382	19320228	5502	0.507237024062	0.0
1	19322454	19324105	760	0.46004842615	0.0
1	19361939	19393539	14214	0.449795892535	0.0
1	19713295	19720718	3498	0.471174568966	0.0
1	19726015	19763982	18256	0.480825958702	0.0
1	19890368	19910237	8496	0.427579265224	0.0
1	19924307	19930589	3749	0.596689479548	0.0
1	19930609	19931288	353	0.519117647059	0.0
1	19945206	19959943	7775	0.527547835527	0.0
1	19962178	19979393	8751	0.508306226766	0.0
1	20793519	20816055	10131	0.449527443759	0.0
1	20816499	20857162	19547	0.48069545544	0.0
1	20857164	20919865	29463	0.469889317725	0.0
1	20920028	20970060	24683	0.493334399296	0.0
1	20971739	20972869	486	0.429708222812	0.0
1	21067725	21072776	1784	0.353127474268	0.0
1	21259852	21300824	15150	0.369755692773	0.0
1	21301244	21330668	11639	0.395548003398	0.0
1	21330747	21332334	643	0.404911838791	0.0
1	21332956	21358478	10168	0.398385769698	0.0
1	21360822	21363897	1269	0.412548764629	0.0
1	21364625	21365391	348	0.45371577575	0.0
1	22125014	22125351	146	0.431952662722	0.0
1	22186355	22199224	7281	0.565734265734	0.0
1	22200662	22212741	6728	0.556953642384	0.0
1	22479400	22488863	4728	0.499577345731	0.0
1	22489537	22506014	8331	0.505583201845	0.0
1	22936918	22949969	6780	0.519460619062	0.0
1	22950900	22984896	17378	0.511162749654	0.0
1	23012481	23045672	16404	0.494215473608	0.0
1	23045682	23077875	15847	0.492234577872	0.0
1	23096554	23107551	5715	0.519639934534	0.0
1	23111024	23118238	3489	0.483575883576	0.0
1	23122681	23132910	5534	0.540957966764	0.0
1	23290079	23350627	27348	0.451667244711	0.0
1	23354045	23369658	5779	0.37011656206	0.0
1	23374820	23383981	3288	0.358873608382	0.0
1	23388173	23392096	1467	0.373853211009	0.0
1	23392867	23409632	6580	0.39246093284	0.0
1	23411374	23441155	12877	0.432375260224	0.0
1	23443262	23455571	5104	0.414622258327	0.0
1	23457471	23472968	6437	0.415343915344	0.0
1	23661872	23670928	3950	0.436126752788	0.0
1	23671232	23676987	1974	0.342946490618	0.0
1	23684990	23701834	7325	0.434847135649	0.0
1	23707264	23714345	3299	0.465828861903	0.0
1	23721626	23764802	20787	0.481436876115	0.0
1	23773586	23780247	3305	0.496097268088	0.0
1	23781966	23835316	25574	0.479353714082	0.0
1	23839836	23845862	3193	0.529782644765	0.0
1	23848613	23848829	100	0.460829493088	0.0
1	23854316	23854603	133	0.461805555556	0.0
1	23867884	23873655	2702	0.468121968122	0.0
1	23874902	23882246	3661	0.498434309054	0.0
1	23888395	23889781	704	0.507570295602	0.0
1	23890721	23897089	3403	0.534306798556	0.0
1	23897712	23917424	9160	0.464667985593	0.0
1	23917436	23927422	4710	0.471613097026	0.0
1	24036603	24040878	1853	0.433348924228	0.0
1	24042073	24056891	6671	0.450165328295	0.0
1	24056893	24075962	8841	0.463607760881	0.0
1	24077747	24081849	1845	0.449670972459	0.0
1	24082482	24103657	9515	0.449329429543	0.0
1	24103659	24148077	22041	0.496206578266	0.0
1	24154079	24165155	5016	0.452830188679	0.0
1	24199732	24211587	5456	0.460188933873	0.0
1	24212669	24213655	425	0.430597771023	0.0
1	24213657	24229508	7196	0.453949028514	0.0
1	24230298	24231269	438	0.450617283951	0.0
1	24245591	24253206	3587	0.470982142857	0.0
1	24488653	24495078	3135	0.487861811391	0.0
1	24495080	24513155	8793	0.486446116397	0.0
1	24513627	24523196	4042	0.422361546499	0.0
1	24523198	24568505	21939	0.484219122451	0.0
1	24713377	24728660	7082	0.463360376865	0.0
1	24734763	24751453	6666	0.399376909712	0.0
1	24870138	24875329	2040	0.392912172573	0.0
1	24877150	24884487	2933	0.399700190788	0.0
1	24968229	24981180	5629	0.434604694256	0.0
1	25442808	25444022	592	0.487242798354	0.0
1	25444024	25445919	920	0.485232067511	0.0
1	25445921	25446168	146	0.588709677419	0.0
1	25446170	25446232	33	0.52380952381	0.0
1	25446234	25448980	1494	0.543866035675	0.0
1	25448982	25508773	28196	0.471568102756	0.0
1	25509073	25529200	7967	0.395816772655	0.0
1	25529585	25565392	17360	0.484807864164	0.0
1	25565394	25569517	1870	0.453443258972	0.0
1	25569519	25569658	80	0.571428571429	0.0
1	25569660	25570426	331	0.431551499348	0.0
1	25570428	25572995	1221	0.47546728972	0.0
1	25572997	25573792	332	0.417085427136	0.0
1	25581617	25581820	69	0.338235294118	0.0
1	25581822	25582527	304	0.43059490085	0.0
1	25583022	25583847	298	0.360774818402	0.0
1	25583849	25584108	108	0.415384615385	0.0
1	25584110	25584382	122	0.446886446886	0.0
1	25584384	25587062	1166	0.435237028742	0.0
1	25587064	25589400	962	0.411638853231	0.0
1	25589402	25589791	152	0.389743589744	0.0
1	25589793	25590339	248	0.453382084095	0.0
1	25590341	25593145	1320	0.470588235294	0.0
1	25593147	25594223	499	0.463324048282	0.0
1	25594225	25597696	1538	0.44297235023	0.0
1	25597698	25598425	282	0.387362637363	0.0
1	25598427	25602720	2030	0.472752678156	0.0
1	25607669	25633201	11733	0.459522970274	0.0
1	25635828	25664261	13319	0.468418091018	0.0
1	25664294	25715073	22421	0.441532099252	0.0
1	25715873	25726410	4408	0.418295691782	0.0
1	26106137	26121909	8358	0.529892854879	0.0
1	26219161	26257842	18844	0.487151646761	0.0
1	26257844	26282146	11416	0.469736246554	0.0
1	26282586	26312719	13836	0.459149133869	0.0
1	26316699	26334742	8271	0.458379516737	0.0
1	26335298	26344349	3990	0.440786566505	0.0
1	26345590	26352549	3063	0.440086206897	0.0
1	26370136	26377838	3613	0.469038037128	0.0
1	26420322	26426338	2780	0.462024264584	0.0
1	26429438	26452484	11077	0.480626545754	0.0
1	26456065	26470613	6546	0.449927830091	0.0
1	26477281	26479191	835	0.436944008373	0.0
1	26706210	26714968	4409	0.503367964379	0.0
1	27211308	27213208	959	0.504471330878	0.0
1	27282028	27284254	1012	0.45442299057	0.0
1	27685344	27685953	302	0.495081967213	0.0
1	27688053	27705278	8428	0.489260420295	0.0
1	27705280	27709768	2187	0.487190911116	0.0
1	27712436	27767618	30300	0.549082144863	0.0
1	27769528	27780674	5962	0.534852426662	0.0
1	27783937	27817459	16365	0.488172299615	0.0
1	27935476	27959202	13527	0.570110001264	0.0
1	27961870	27967309	3155	0.579963235294	0.0
1	27968424	28001273	18082	0.550441400304	0.0
1	28001722	28002396	391	0.579259259259	0.0
1	28076586	28095146	8043	0.433327945693	0.0
1	28096378	28119388	9934	0.431706575116	0.0
1	28121861	28131340	4154	0.438185654008	0.0
1	28132024	28145524	5909	0.437671283609	0.0
1	28149344	28149653	170	0.548387096774	0.0
1	28151153	28155228	1800	0.441609421001	0.0
1	28157547	28165700	3398	0.416727986264	0.0
1	28183456	28187182	1439	0.386101422055	0.0
1	28187184	28208721	8578	0.398272820132	0.0
1	28635171	28648637	6177	0.458676765427	0.0
1	28678235	28682053	1737	0.45483110762	0.0
1	28683371	28719315	16446	0.457532341077	0.0
1	28719317	28726538	3315	0.459014123511	0.0
1	28755416	28757853	1145	0.469647251846	0.0
1	28757855	28764551	3040	0.453934597581	0.0
1	28764714	28778845	6576	0.465326917634	0.0
1	28848862	28901068	22454	0.430095581052	0.0
1	28901392	28937422	17048	0.47314812245	0.0
1	28938627	28977775	18733	0.478505198089	0.0
1	28983196	29020948	18312	0.48504754589	0.0
1	29163900	29183976	8379	0.41734322857	0.0
1	29184319	29235484	24939	0.487413516788	0.0
1	29238880	29245769	3226	0.468214804064	0.0
1	29433790	29446527	5144	0.403831056681	0.0
1	29457244	29505515	18775	0.388941829632	0.0
1	29505517	29508198	1114	0.415361670395	0.0
1	29508200	29508870	265	0.394932935917	0.0
1	29541382	29551450	5481	0.544344026219	0.0
1	30799205	30802469	1416	0.433690658499	0.0
1	30808737	30813468	2629	0.555579036348	0.0
1	30813470	30843411	14536	0.485471912364	0.0
1	30844481	30863120	9378	0.503111587983	0.0
1	30863398	30864569	357	0.304607508532	0.0
1	31062317	31074493	5627	0.462100681613	0.0
1	31077937	31085406	3717	0.497590361446	0.0
1	31192549	31203602	5644	0.510584403836	0.0
1	31205323	31209532	2055	0.488123515439	0.0
1	32059865	32062021	854	0.39592025962	0.0
1	32062617	32070341	4097	0.530355987055	0.0
1	32072052	32078399	3364	0.52993068683	0.0
1	32090715	32109815	9113	0.477095440029	0.0
1	32115937	32179278	34511	0.544835969815	0.0
1	32179280	32183869	2604	0.567320261438	0.0
1	32192070	32206911	8328	0.561110362485	0.0
1	32241690	32322613	37480	0.463150610449	0.0
1	32322615	32367577	19331	0.429931276828	0.0
1	32367778	32400948	13818	0.416568689518	0.0
1	32410006	32411991	1011	0.509063444109	0.0
1	32430497	32499517	30927	0.44808101882	0.0
1	32783821	32808105	12603	0.518962322421	0.0
1	32811772	32819981	4389	0.534591961023	0.0
1	32830072	32854999	11643	0.467065147625	0.0
1	33129612	33144176	6166	0.423343631995	0.0
1	33144178	33148848	1858	0.397773496039	0.0
1	33150995	33180499	14515	0.491950516862	0.0
1	33182000	33183901	1009	0.530494216614	0.0
1	33188338	33225096	19056	0.518403656247	0.0
1	33230557	33254040	12031	0.512306251065	0.0
1	34458996	34460476	740	0.499662390277	0.0
1	34467486	34541062	32330	0.439403617978	0.0
1	34541496	34564943	10820	0.461446605254	0.0
1	34574300	34608857	14051	0.406591816656	0.0
1	34615459	34617366	1030	0.539832285115	0.0
1	34655839	34711685	25825	0.46242412305	0.0
1	34714118	34716611	1022	0.409783480353	0.0
1	34718657	34760524	17171	0.410122289099	0.0
1	34782366	34786067	1499	0.40491626148	0.0
1	34884654	34942252	25552	0.443618812827	0.0
1	34942314	34942814	229	0.457085828343	0.0
1	34975327	34990784	6030	0.390089274162	0.0
1	35016674	35039199	9279	0.411923998935	0.0
1	35041665	35049192	3007	0.399442082891	0.0
1	35050886	35114159	27840	0.439991149603	0.0
1	35117866	35121929	1882	0.463090551181	0.0
1	35122933	35123537	271	0.447933884298	0.0
1	35171096	35187186	6722	0.417749052265	0.0
1	35285670	35314895	13185	0.451139396428	0.0
1	35315486	35331367	6798	0.428031734039	0.0
1	35331513	35349436	8823	0.49224503459	0.0
1	35350598	35350725	60	0.46875	0.0
1	35353792	35411252	27011	0.470075355458	0.0
1	35411986	35412081	41	0.427083333333	0.0
1	35413259	35413703	200	0.449438202247	0.0
1	35892217	35902178	3676	0.369002208392	0.0
1	35914533	35947158	14123	0.432875620671	0.0
1	36510653	36526144	5660	0.365349857991	0.0
1	36526998	36544005	6931	0.407514111007	0.0
1	36544268	36558891	5646	0.386077680525	0.0
1	36632642	36662106	15070	0.511454267775	0.0
1	36849795	36878930	15576	0.534596375618	0.0
1	37043353	37043410	34	0.586206896552	0.0
1	37261404	37261421	11	0.611111111111	0.0
1	37269135	37281056	5018	0.420902533132	0.0
1	37443695	37445990	1051	0.45775261324	0.0
1	37446509	37453302	3506	0.516043567854	0.0
1	37462193	37491774	15308	0.517476844027	0.0
1	37701655	37709877	3847	0.467834123799	0.0
1	37717168	37723168	2631	0.438426928845	0.0
1	37762545	37773653	5179	0.46619857773	0.0
1	37775301	37814376	18911	0.483954345378	0.0
1	37879933	37887759	3549	0.453430433116	0.0
1	37887761	37896975	4420	0.479652740098	0.0
1	37897026	37900339	1469	0.443270971635	0.0
1	37901027	37938365	17230	0.461447815957	0.0
1	37982666	38004128	10389	0.484042305363	0.0
1	38006229	38026979	11233	0.54132330972	0.0
1	38061527	38069474	3501	0.440488173125	0.0
1	38074623	38118095	19395	0.446138982817	0.0
1	38118255	38130191	4840	0.40546200888	0.0
1	38139176	38176364	18693	0.50264863266	0.0
1	38179441	38205733	13297	0.505723956947	0.0
1	38207572	38211477	1902	0.486943164363	0.0
1	38487291	38517185	14145	0.473156046162	0.0
1	38575752	38588884	6704	0.510469808878	0.0
1	38624906	38662663	18199	0.481990571535	0.0
1	38706617	38709551	1216	0.414310051107	0.0
1	38712386	38783040	32872	0.465246620904	0.0
1	38785293	38786897	813	0.506542056075	0.0
1	38787849	38806586	9190	0.490447219554	0.0
1	38817069	38829408	5594	0.453322528363	0.0
1	38829920	38880107	20710	0.412648441859	0.0
1	38891227	38912628	9464	0.442201663396	0.0
1	38919428	38930210	4764	0.441806547343	0.0
1	38930753	38935987	2107	0.402483285578	0.0
1	38938873	38942566	1444	0.390904168923	0.0
1	38944376	38944741	103	0.281420765027	0.0
1	38965466	38967349	711	0.377388535032	0.0
1	38975207	38999532	10225	0.420332154896	0.0
1	38999534	39004112	2233	0.487661061367	0.0
1	39005895	39013500	3207	0.421640809887	0.0
1	39015694	39021595	2320	0.393087089122	0.0
1	39033062	39044569	5202	0.452033368092	0.0
1	39044571	39046158	710	0.447103274559	0.0
1	39049335	39051436	918	0.436726926736	0.0
1	39062891	39068617	2553	0.44578313253	0.0
1	39070986	39078148	2972	0.41490995393	0.0
1	39079875	39095882	6768	0.422788605697	0.0
1	39096465	39105538	3946	0.434868856072	0.0
1	39112861	39130662	8556	0.480620155039	0.0
1	39131643	39138164	2928	0.448942042318	0.0
1	39139051	39167526	12643	0.443987919652	0.0
1	39169429	39262316	40223	0.433026871071	0.0
1	39262337	39303137	18222	0.446606700816	0.0
1	39309532	39322797	6204	0.467661691542	0.0
1	39324117	39346219	10029	0.453739311406	0.0
1	39352221	39477134	54248	0.434282786557	0.0
1	39477136	39480081	1229	0.417175831636	0.0
1	40266409	40267314	406	0.448123620309	0.0
1	40267680	40286618	8086	0.426949680553	0.0
1	40287321	40294328	2626	0.374714611872	0.0
1	40321929	40323651	822	0.477074869414	0.0
1	40343180	40353419	5361	0.52353515625	0.0
1	40360426	40375033	6537	0.447494523549	0.0
1	40406102	40431819	10401	0.404424916401	0.0
1	40673670	40677586	1432	0.365585907582	0.0
1	40678337	40695513	6919	0.402806077895	0.0
1	40696118	40752689	23172	0.409601923213	0.0
1	40789879	40817247	10762	0.393218604991	0.0
1	40817653	40872992	22891	0.413642934586	0.0
1	40925042	40926545	665	0.442154255319	0.0
1	40930027	40933088	1314	0.429131286741	0.0
1	40934298	40940197	2520	0.427118644068	0.0
1	40943183	40953597	4409	0.423331733077	0.0
1	40956125	40998349	17049	0.403765541741	0.0
1	41076833	41098201	9208	0.430904581403	0.0
1	41099327	41105889	2724	0.415054091117	0.0
1	41107578	41116333	3525	0.402581087254	0.0
1	41174078	41194440	8838	0.434022491774	0.0
1	41195765	41278143	39285	0.476881244006	0.0
1	41278839	41280585	766	0.438465941614	0.0
1	41284214	41295072	4420	0.407035638641	0.0
1	41295132	41295981	316	0.371764705882	0.0
1	41300199	41328292	11693	0.416209866875	0.0
1	41329992	41338393	3410	0.405855748631	0.0
1	41524948	41525798	378	0.444183313749	0.0
1	41532314	41541483	4303	0.469247546347	0.0
1	41574988	41605766	14239	0.462620617954	0.0
1	41609597	41628300	8705	0.465408468777	0.0
1	41673723	41678419	1707	0.363423461784	0.0
1	41678749	41681491	1014	0.369668246445	0.0
1	41682734	41689026	2303	0.3659621802	0.0
1	41689078	41699459	4172	0.401849354652	0.0
1	41732906	41760793	10598	0.380020080321	0.0
1	41761893	41774190	4747	0.385997723207	0.0
1	41780064	41796217	6014	0.37229169246	0.0
1	41805493	41818933	5168	0.38449520125	0.0
1	41818935	41824978	2298	0.380211780278	0.0
1	41836286	41880318	19763	0.448822474054	0.0
1	41885092	41900361	6334	0.414800261952	0.0
1	41900953	41910910	4501	0.451998393252	0.0
1	42124433	42151360	12921	0.479835115865	0.0
1	42202801	42221170	8849	0.481709308655	0.0
1	42223490	42267663	21167	0.479173269344	0.0
1	42267673	42276940	4705	0.507660768235	0.0
1	42278597	42299691	9868	0.467788575492	0.0
1	42302911	42302950	20	0.5	0.0
1	42303013	42372329	33690	0.486027958509	0.0
1	42373902	42389511	7415	0.475016015375	0.0
1	42392064	42412294	9368	0.463051752261	0.0
1	42414556	42414844	137	0.474048442907	0.0
1	42416626	42489615	32705	0.448075078778	0.0
1	42492458	42498971	2911	0.446883635247	0.0
1	42527185	42535052	2675	0.339984748348	0.0
1	42536233	42542449	2397	0.385555734277	0.0
1	42542890	42543566	213	0.314623338257	0.0
1	42568958	42576523	3274	0.432725350251	0.0
1	42940840	42949984	3852	0.421213778021	0.0
1	42950682	43069448	50373	0.424132966228	0.0
1	43468019	43525951	24203	0.417775706419	0.0
1	43620499	43622752	1380	0.612244897959	0.0
1	43623214	43626181	1315	0.443059299191	0.0
1	43628539	43629895	593	0.436993367723	0.0
1	43647334	43743455	42579	0.442968311105	0.0
1	43744046	43838793	39493	0.41682146325	0.0
1	43892477	43904010	6053	0.524796254552	0.0
1	43906680	43975860	33875	0.489657564938	0.0
1	44000935	44002562	771	0.473587223587	0.0
1	44003360	44021607	8068	0.442130644454	0.0
1	44187433	44201064	7530	0.552376760563	0.0
1	44201066	44230031	16247	0.560898985017	0.0
1	44240404	44306636	30857	0.465885585735	0.0
1	44654294	44683065	13910	0.483456137912	0.0
1	44721952	44730914	3632	0.405221466027	0.0
1	44853081	44951699	47565	0.482310710918	0.0
1	44953272	44986567	14416	0.432964920711	0.0
1	44990063	45001328	5357	0.475501508965	0.0
1	45011129	45016434	2412	0.45457972107	0.0
1	45020014	45022918	1068	0.367641996558	0.0
1	45025833	45034621	3452	0.392763681875	0.0
1	45204529	45211578	3230	0.458156028369	0.0
1	45266706	45301206	18014	0.522129793339	0.0
1	45302905	45330035	12530	0.46183332719	0.0
1	45330037	45330442	171	0.42118226601	0.0
1	46663917	46727712	28051	0.439698413694	0.0
1	47163103	47173128	4543	0.453121883104	0.0
1	47191429	47195252	1990	0.52039748954	0.0
1	47197410	47200636	1754	0.54353889061	0.0
1	47200638	47221618	11069	0.527572565655	0.0
1	47221620	47221643	13	0.541666666667	0.0
1	47221645	47247975	12354	0.46918081349	0.0
1	47264412	47272171	3679	0.474097938144	0.0
1	47272192	47310558	17875	0.465895170329	0.0
1	47311683	47416305	42581	0.40699463789	0.0
1	47855191	47886894	15918	0.502081756245	0.0
1	47887588	47904535	8787	0.518468255841	0.0
1	47905130	47905547	185	0.442583732057	0.0
1	47939753	47986910	18416	0.390516985453	0.0
1	47990839	48003410	5531	0.439945911549	0.0
1	48005351	48008320	1366	0.459932659933	0.0
1	48017526	48202314	85053	0.460270903571	0.0
1	48398304	48416025	8268	0.466538765376	0.0
1	48432904	48436208	1516	0.458698940998	0.0
1	48437313	48451343	7364	0.524837859026	0.0
1	48603870	48635802	14530	0.45501518805	0.0
1	48669463	48697100	13142	0.475504739851	0.0
1	48699811	48710912	4766	0.429292019456	0.0
1	48711499	48713185	743	0.440426793124	0.0
1	50083553	50094139	3733	0.35260224804	0.0
1	50275471	50300309	9354	0.376585208744	0.0
1	50361406	50369032	3068	0.402255146191	0.0
1	50369718	50381854	4177	0.344154239104	0.0
1	50381856	50381930	24	0.32	0.0
1	50381932	50395416	4659	0.345494994438	0.0
1	50414095	50416428	807	0.345758354756	0.0
1	50428129	50449760	7934	0.366771449704	0.0
1	50452032	50517300	23145	0.354609385773	0.0
1	50520013	50530296	3670	0.356865033061	0.0
1	50530317	50538212	2832	0.358662613982	0.0
1	50538215	50538217	1	0.333333333333	0.0
1	50538220	50564285	10070	0.386327016036	0.0
1	50564301	50590935	9634	0.361704524122	0.0
1	50592889	50633398	15015	0.370649222414	0.0
1	50666779	50703549	13076	0.355606320198	0.0
1	50748440	50751025	986	0.38128383604	0.0
1	50751027	50827217	29583	0.388274205615	0.0
1	50991027	51004569	6066	0.447906667651	0.0
1	51009817	51049391	17359	0.438635502211	0.0
1	51077657	51124964	19326	0.408514416166	0.0
1	51146885	51157652	4963	0.460902674591	0.0
1	51158247	51211373	20740	0.390385303142	0.0
1	51227009	51248372	7960	0.372589402734	0.0
1	51257061	51313230	20301	0.3614206872	0.0
1	51317481	51345223	10636	0.383375986735	0.0
1	51345225	51362029	6288	0.374174352871	0.0
1	51362095	51383712	8284	0.383199185864	0.0
1	51392422	51423696	12028	0.384588329337	0.0
1	51430004	51449472	7851	0.403256458986	0.0
1	51451784	51472544	7952	0.383025865806	0.0
1	51472546	51477391	1924	0.397028477095	0.0
1	51478491	51485848	2956	0.401739603153	0.0
1	51501533	51509245	2804	0.363542071827	0.0
1	51509256	51528768	7221	0.370060984984	0.0
1	51532038	51542480	3983	0.381403811165	0.0
1	51551042	51555195	1519	0.365671641791	0.0
1	51569464	51628628	21635	0.365672272458	0.0
1	51630640	51668061	14547	0.388728555395	0.0
1	51668741	51680640	5010	0.421008403361	0.0
1	51682743	51700112	7351	0.423200921128	0.0
1	51709275	51711491	665	0.299954894001	0.0
1	51711493	51734487	8730	0.379647749511	0.0
1	51738123	51766990	10816	0.374670915893	0.0
1	51773907	51804577	12263	0.399823937922	0.0
1	51804579	51827897	8998	0.385865603156	0.0
1	51832480	51840162	2681	0.348952232201	0.0
1	52088309	52137526	18839	0.382766467553	0.0
1	52151498	52152412	315	0.344262295082	0.0
1	52187875	52204659	6070	0.36163240989	0.0
1	52210085	52233034	8759	0.38165577342	0.0
1	52241478	52243253	618	0.347972972973	0.0
1	52250789	52263496	5330	0.419420837268	0.0
1	52263899	52282538	7683	0.412178111588	0.0
1	52286238	52331529	19540	0.431422767818	0.0
1	52331824	52351828	8629	0.431342164459	0.0
1	52363129	52391306	10986	0.389878628717	0.0
1	52391308	52498848	41110	0.38227280758	0.0
1	52501844	52541914	15917	0.397219934616	0.0
1	52543740	52559568	5780	0.365152568071	0.0
1	52561587	52590924	11071	0.377360419933	0.0
1	52593435	52620367	10833	0.402220324509	0.0
1	54106305	54112727	3248	0.505682702787	0.0
1	54132603	54145321	6451	0.507193961789	0.0
1	54149927	54152948	1226	0.40569159497	0.0
1	54156149	54158273	1025	0.482352941176	0.0
1	54159482	54215349	24979	0.447107467602	0.0
1	54215351	54272812	29025	0.505116424768	0.0
1	54276606	54283182	3596	0.546753839136	0.0
1	55895073	55935092	14762	0.368865567216	0.0
1	55936678	55946407	3491	0.35878725591	0.0
