ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_001605	 	AARS	alanyl-tRNA synthetase	Cytoplasm	enzyme	 	
NM_020745	 	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Cytoplasm	enzyme	 	
NM_001261434	 	AARSD1	alanyl-tRNA synthetase domain containing 1	Nucleus	enzyme	 	
NM_001286670	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_001286671	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_001286672	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_181806	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_001286669	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_001286668	D	AASDH	aminoadipate-semialdehyde dehydrogenase	Other	enzyme	 	
NM_015423	 	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Cytoplasm	enzyme	 	
NR_026961	 	AATBC	apoptosis associated transcript in bladder cancer	Other	other	 	
NM_012138	 	AATF	apoptosis antagonizing transcription factor	Nucleus	transcription regulator	 	
NM_004920	D	AATK	apoptosis-associated tyrosine kinase	Cytoplasm	kinase	 	
NM_001080395	D	AATK	apoptosis-associated tyrosine kinase	Cytoplasm	kinase	 	
NR_027255	 	AATK-AS1	AATK antisense RNA 1	Other	other	 	
NR_131907	 	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Other	other	 	
NM_001127448	D	ABAT	4-aminobutyrate aminotransferase	Cytoplasm	enzyme	valproic acid, vigabatrin	
NM_000663	D	ABAT	4-aminobutyrate aminotransferase	Cytoplasm	enzyme	valproic acid, vigabatrin	
NM_020686	D	ABAT	4-aminobutyrate aminotransferase	Cytoplasm	enzyme	valproic acid, vigabatrin	
NM_080282	 	ABCA10	ATP binding cassette subfamily A member 10	Other	transporter	 	
NR_002451	 	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Other	other	 	
NM_152701	 	ABCA13	ATP binding cassette subfamily A member 13	Extracellular Space	transporter	 	
NR_003574	 	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Other	other	 	
NM_001089	 	ABCA3	ATP binding cassette subfamily A member 3	Plasma Membrane	transporter	 	
NM_018672	D	ABCA5	ATP binding cassette subfamily A member 5	Plasma Membrane	transporter	 	
NM_172232	D	ABCA5	ATP binding cassette subfamily A member 5	Plasma Membrane	transporter	 	
NM_080284	 	ABCA6	ATP binding cassette subfamily A member 6	Plasma Membrane	transporter	 	
NM_019112	 	ABCA7	ATP binding cassette subfamily A member 7	Plasma Membrane	transporter	 	
NR_126414	 	ABCA9-AS1	 	Other	other	 	
NM_000927	 	ABCB1	ATP binding cassette subfamily B member 1	Plasma Membrane	transporter	dofequidar, tariquidar, OC 144-093, valspodar	
NM_003742	 	ABCB11	ATP binding cassette subfamily B member 11	Plasma Membrane	transporter	 	
NM_018849	D	ABCB4	ATP binding cassette subfamily B member 4	Plasma Membrane	transporter	 	
NM_000443	D	ABCB4	ATP binding cassette subfamily B member 4	Plasma Membrane	transporter	 	
NM_018850	D	ABCB4	ATP binding cassette subfamily B member 4	Plasma Membrane	transporter	 	
NM_001163942	D	ABCB5	ATP binding cassette subfamily B member 5	Plasma Membrane	transporter	 	
NM_001163941	D	ABCB5	ATP binding cassette subfamily B member 5	Plasma Membrane	transporter	 	
NM_001163993	D	ABCB5	ATP binding cassette subfamily B member 5	Plasma Membrane	transporter	 	
NM_178559	D	ABCB5	ATP binding cassette subfamily B member 5	Plasma Membrane	transporter	 	
NM_001282292	D	ABCB8	ATP binding cassette subfamily B member 8	Cytoplasm	transporter	 	
NM_001282293	D	ABCB8	ATP binding cassette subfamily B member 8	Cytoplasm	transporter	 	
NM_001282291	D	ABCB8	ATP binding cassette subfamily B member 8	Cytoplasm	transporter	 	
NM_007188	D	ABCB8	ATP binding cassette subfamily B member 8	Cytoplasm	transporter	 	
NM_001243014	D	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
NM_001243013	D	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
NM_203444	D	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
NM_019625	D	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
NM_019624	D	ABCB9	ATP binding cassette subfamily B member 9	Cytoplasm	transporter	 	
NM_004996	 	ABCC1	ATP binding cassette subfamily C member 1	Plasma Membrane	transporter	sulfinpyrazone	
NM_033450	D	ABCC10	ATP binding cassette subfamily C member 10	Plasma Membrane	transporter	 	
NM_001198934	D	ABCC10	ATP binding cassette subfamily C member 10	Plasma Membrane	transporter	 	
NR_003088	D	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Other	transporter	 	
NR_003087	D	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Other	transporter	 	
NM_001144070	D	ABCC3	ATP binding cassette subfamily C member 3	Plasma Membrane	transporter	 	
NM_003786	D	ABCC3	ATP binding cassette subfamily C member 3	Plasma Membrane	transporter	 	
NM_001105515	D	ABCC4	ATP binding cassette subfamily C member 4	Plasma Membrane	transporter	 	
NM_001301829	D	ABCC4	ATP binding cassette subfamily C member 4	Plasma Membrane	transporter	 	
NM_001301830	D	ABCC4	ATP binding cassette subfamily C member 4	Plasma Membrane	transporter	 	
NM_005845	D	ABCC4	ATP binding cassette subfamily C member 4	Plasma Membrane	transporter	 	
NM_001079528	D	ABCC6	ATP binding cassette subfamily C member 6	Plasma Membrane	transporter	 	
NM_001171	D	ABCC6	ATP binding cassette subfamily C member 6	Plasma Membrane	transporter	 	
NR_003569	 	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1 (functional)	Other	other	 	
NR_023387	 	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Other	other	 	
NM_000352	D	ABCC8	ATP binding cassette subfamily C member 8	Plasma Membrane	transporter	minoxidil, gliquidone, mitiglinide, tolbutamide, glipizide, glyburide, tolazamide, acetohexamide, chlorpropamide, gliclazide, glimepiride, repaglinide, nateglinide	
NM_001287174	D	ABCC8	ATP binding cassette subfamily C member 8	Plasma Membrane	transporter	minoxidil, gliquidone, mitiglinide, tolbutamide, glipizide, glyburide, tolazamide, acetohexamide, chlorpropamide, gliclazide, glimepiride, repaglinide, nateglinide	
NM_020297	D	ABCC9	ATP binding cassette subfamily C member 9	Plasma Membrane	ion channel	 	
NM_005691	D	ABCC9	ATP binding cassette subfamily C member 9	Plasma Membrane	ion channel	 	
NM_000033	 	ABCD1	ATP binding cassette subfamily D member 1	Plasma Membrane	transporter	 	
NM_005164	 	ABCD2	ATP binding cassette subfamily D member 2	Cytoplasm	transporter	 	
NM_001090	D	ABCF1	ATP binding cassette subfamily F member 1	Cytoplasm	transporter	 	
NM_001025091	D	ABCF1	ATP binding cassette subfamily F member 1	Cytoplasm	transporter	 	
NM_005692	D	ABCF2	ATP binding cassette subfamily F member 2	Cytoplasm	transporter	 	
NM_007189	D	ABCF2	ATP binding cassette subfamily F member 2	Cytoplasm	transporter	 	
NM_018358	 	ABCF3	ATP binding cassette subfamily F member 3	Other	transporter	 	
NM_001257386	D	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Plasma Membrane	transporter	 	
NM_004827	D	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Plasma Membrane	transporter	 	
NM_022169	D	ABCG4	ATP binding cassette subfamily G member 4	Plasma Membrane	transporter	 	
NM_001142505	D	ABCG4	ATP binding cassette subfamily G member 4	Plasma Membrane	transporter	 	
NM_022436	 	ABCG5	ATP binding cassette subfamily G member 5	Plasma Membrane	transporter	 	
NM_022437	 	ABCG8	ATP binding cassette subfamily G member 8	Plasma Membrane	transporter	 	
NM_032604	 	ABHD1	abhydrolase domain containing 1	Other	other	 	
NM_148912	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NM_148913	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NM_001301058	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NM_001145364	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NR_026910	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NR_026912	D	ABHD11	abhydrolase domain containing 11	Cytoplasm	enzyme	 	
NR_026690	 	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Other	other	 	
NM_001206673	D	ABHD12B	abhydrolase domain containing 12B	Other	peptidase	 	
NM_181814	D	ABHD12B	abhydrolase domain containing 12B	Other	peptidase	 	
NM_015407	 	ABHD14A	abhydrolase domain containing 14A	Cytoplasm	enzyme	 	
NM_001316331	 	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Other	other	 	
NM_032750	D	ABHD14B	abhydrolase domain containing 14B	Cytoplasm	enzyme	 	
NM_001146314	D	ABHD14B	abhydrolase domain containing 14B	Cytoplasm	enzyme	 	
NM_001254753	D	ABHD14B	abhydrolase domain containing 14B	Cytoplasm	enzyme	 	
NM_198147	 	ABHD15	abhydrolase domain containing 15	Extracellular Space	other	 	
NM_001177515	D	ABHD16A	abhydrolase domain containing 16A	Other	other	 	
NM_021160	D	ABHD16A	abhydrolase domain containing 16A	Other	other	 	
NR_033488	D	ABHD16A	abhydrolase domain containing 16A	Other	other	 	
NR_033489	D	ABHD16A	abhydrolase domain containing 16A	Other	other	 	
NM_080622	 	ABHD16B	abhydrolase domain containing 16B	Other	other	 	
NM_001130111	D	ABHD17A	abhydrolase domain containing 17A	Other	enzyme	 	
NM_031213	D	ABHD17A	abhydrolase domain containing 17A	Other	enzyme	 	
NM_001039717	 	ABHD18	abhydrolase domain containing 18	Other	other	 	
NM_007011	D	ABHD2	abhydrolase domain containing 2	Other	enzyme	 	
NM_152924	D	ABHD2	abhydrolase domain containing 2	Other	enzyme	 	
NM_001308257	 	ABHD3	abhydrolase domain containing 3	Plasma Membrane	enzyme	 	
NM_022060	 	ABHD4	abhydrolase domain containing 4	Cytoplasm	peptidase	 	
NM_016006	 	ABHD5	abhydrolase domain containing 5	Cytoplasm	enzyme	 	
NM_020676	 	ABHD6	abhydrolase domain containing 6	Cytoplasm	enzyme	 	
NM_024527	 	ABHD8	abhydrolase domain containing 8	Cytoplasm	enzyme	 	
NM_001178119	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178116	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178120	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178121	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178122	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178123	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178124	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001178125	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_005470	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001012751	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001012750	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001012752	D	ABI1	abl interactor 1	Cytoplasm	other	 	
NM_001282925	D	ABI2	abl-interactor 2	Cytoplasm	other	 	
NM_005759	D	ABI2	abl-interactor 2	Cytoplasm	other	 	
NM_001282932	D	ABI2	abl-interactor 2	Cytoplasm	other	 	
NM_001282926	D	ABI2	abl-interactor 2	Cytoplasm	other	 	
NM_001282927	D	ABI2	abl-interactor 2	Cytoplasm	other	 	
NM_016428	D	ABI3	ABI family member 3	Plasma Membrane	other	 	
NM_001135186	D	ABI3	ABI family member 3	Plasma Membrane	other	 	
NM_001003408	D	ABLIM1	actin binding LIM protein 1	Cytoplasm	other	 	
NM_001003407	D	ABLIM1	actin binding LIM protein 1	Cytoplasm	other	 	
NM_006720	D	ABLIM1	actin binding LIM protein 1	Cytoplasm	other	 	
NM_002313	D	ABLIM1	actin binding LIM protein 1	Cytoplasm	other	 	
NM_001130083	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001130087	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001130086	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001130085	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001130084	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001130088	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_001286688	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_032432	D	ABLIM2	actin binding LIM protein family member 2	Cytoplasm	other	 	
NM_020469	 	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Plasma Membrane	enzyme	 	
NM_001092	D	ABR	active BCR-related	Cytoplasm	other	 	
NM_001282149	D	ABR	active BCR-related	Cytoplasm	other	 	
NM_021962	D	ABR	active BCR-related	Cytoplasm	other	 	
NM_001159746	D	ABR	active BCR-related	Cytoplasm	other	 	
NM_001256847	D	ABR	active BCR-related	Cytoplasm	other	 	
NM_139166	 	ABRA	actin binding Rho activating protein	Cytoplasm	other	 	
NM_032548	D	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Cytoplasm	translation regulator	 	
NM_172027	D	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Cytoplasm	translation regulator	 	
NR_033429	D	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Cytoplasm	translation regulator	 	
NM_006111	 	ACAA2	acetyl-CoA acyltransferase 2	Cytoplasm	enzyme	 	
NM_198836	D	ACACA	acetyl-CoA carboxylase alpha	Cytoplasm	enzyme	 	
NM_198834	D	ACACA	acetyl-CoA carboxylase alpha	Cytoplasm	enzyme	 	
NM_198837	D	ACACA	acetyl-CoA carboxylase alpha	Cytoplasm	enzyme	 	
NM_198838	D	ACACA	acetyl-CoA carboxylase alpha	Cytoplasm	enzyme	 	
NM_198839	D	ACACA	acetyl-CoA carboxylase alpha	Cytoplasm	enzyme	 	
NM_014384	 	ACAD8	acyl-CoA dehydrogenase family member 8	Cytoplasm	enzyme	 	
NM_001127328	D	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Cytoplasm	enzyme	 	
NM_001286043	D	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Cytoplasm	enzyme	 	
NM_001286042	D	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Cytoplasm	enzyme	 	
NM_001286044	D	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Cytoplasm	enzyme	 	
NM_000016	D	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Cytoplasm	enzyme	 	
NM_001302554	D	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Cytoplasm	enzyme	 	
NM_000017	D	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Cytoplasm	enzyme	 	
NM_001270447	D	ACADVL	acyl-CoA dehydrogenase, very long chain	Cytoplasm	enzyme	 	
NM_001270448	D	ACADVL	acyl-CoA dehydrogenase, very long chain	Cytoplasm	enzyme	 	
NM_001033859	D	ACADVL	acyl-CoA dehydrogenase, very long chain	Cytoplasm	enzyme	 	
NM_000018	D	ACADVL	acyl-CoA dehydrogenase, very long chain	Cytoplasm	enzyme	 	
NM_014716	 	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Plasma Membrane	other	 	
NM_012287	 	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Nucleus	other	 	
NM_030649	 	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Nucleus	transcription regulator	 	
NM_000019	 	ACAT1	acetyl-CoA acetyltransferase 1	Cytoplasm	enzyme	 	
NM_001303253	D	ACAT2	acetyl-CoA acetyltransferase 2	Cytoplasm	enzyme	 	
NM_005891	D	ACAT2	acetyl-CoA acetyltransferase 2	Cytoplasm	enzyme	 	
NM_022735	 	ACBD3	acyl-CoA binding domain containing 3	Cytoplasm	other	 	
NM_024722	D	ACBD4	acyl-CoA binding domain containing 4	Other	other	 	
NM_001135705	D	ACBD4	acyl-CoA binding domain containing 4	Other	other	 	
NM_001135707	D	ACBD4	acyl-CoA binding domain containing 4	Other	other	 	
NM_001135706	D	ACBD4	acyl-CoA binding domain containing 4	Other	other	 	
NM_001135704	D	ACBD4	acyl-CoA binding domain containing 4	Other	other	 	
NM_001301254	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_001301251	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_001301252	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_001301253	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_001271512	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_145698	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_001042473	D	ACBD5	acyl-CoA binding domain containing 5	Nucleus	other	 	
NM_032360	 	ACBD6	acyl-CoA binding domain containing 6	Other	other	 	
NM_001039844	 	ACBD7	acyl-CoA binding domain containing 7	Other	other	 	
NM_001127219	D	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Other	enzyme	 	
NM_032592	D	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Other	enzyme	 	
NM_022914	D	ACD	adrenocortical dysplasia homolog (mouse)	Nucleus	other	 	
NM_001082487	D	ACD	adrenocortical dysplasia homolog (mouse)	Nucleus	other	 	
NM_001082486	D	ACD	adrenocortical dysplasia homolog (mouse)	Nucleus	other	 	
NM_000789	D	ACE	angiotensin I converting enzyme	Plasma Membrane	peptidase	pentopril, quinaprilat, perindoprilat, amlodipine/perindopril, benazeprilat, trandolaprilat, angiotensin-converting enzyme inhibitor, amlodipine/benazepril, hydrochlorothiazide/lisinopril, benazepril, enalapril, perindopril, captopril, cilazapril, enalapril/felodipine, hydrochlorothiazide/moexipril, benazepril/hydrochlorothiazide, hydrochlorothiazide/quinapril, fosinopril/hydrochlorothiazide, captopril/hydrochlorothiazide, enalapril/hydrochlorothiazide, ramipril, ramiprilat, moexipril, quinapril, lisinopril, enalaprilat, trandolapril, galanthamine, trandolapril/verapamil, diltiazem/enalapril, fosinopril	
NM_001178057	D	ACE	angiotensin I converting enzyme	Plasma Membrane	peptidase	pentopril, quinaprilat, perindoprilat, amlodipine/perindopril, benazeprilat, trandolaprilat, angiotensin-converting enzyme inhibitor, amlodipine/benazepril, hydrochlorothiazide/lisinopril, benazepril, enalapril, perindopril, captopril, cilazapril, enalapril/felodipine, hydrochlorothiazide/moexipril, benazepril/hydrochlorothiazide, hydrochlorothiazide/quinapril, fosinopril/hydrochlorothiazide, captopril/hydrochlorothiazide, enalapril/hydrochlorothiazide, ramipril, ramiprilat, moexipril, quinapril, lisinopril, enalaprilat, trandolapril, galanthamine, trandolapril/verapamil, diltiazem/enalapril, fosinopril	
NM_152830	D	ACE	angiotensin I converting enzyme	Plasma Membrane	peptidase	pentopril, quinaprilat, perindoprilat, amlodipine/perindopril, benazeprilat, trandolaprilat, angiotensin-converting enzyme inhibitor, amlodipine/benazepril, hydrochlorothiazide/lisinopril, benazepril, enalapril, perindopril, captopril, cilazapril, enalapril/felodipine, hydrochlorothiazide/moexipril, benazepril/hydrochlorothiazide, hydrochlorothiazide/quinapril, fosinopril/hydrochlorothiazide, captopril/hydrochlorothiazide, enalapril/hydrochlorothiazide, ramipril, ramiprilat, moexipril, quinapril, lisinopril, enalaprilat, trandolapril, galanthamine, trandolapril/verapamil, diltiazem/enalapril, fosinopril	
NM_133492	 	ACER1	alkaline ceramidase 1	Cytoplasm	enzyme	 	
NM_001010887	 	ACER2	alkaline ceramidase 2	Cytoplasm	enzyme	 	
NM_001282449	D	ACHE	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	ZT-1, ladostigil, terestigmine, acetylcholinesterase inhibitor, donepezil/memantine, caracemide, atropine/edrophonium, BW 284 C 51, neostigmine, 2,3 butanedione monoxime, echothiophate, tacrine, edrophonium, isoflurophate, pyridostigmine, demecarium, ambenonium, donepezil, pralidoxime, rivastigmine, gallamine triethiodide, thiamine, huperzine A, physostigmine, galanthamine	
NM_015831	D	ACHE	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	ZT-1, ladostigil, terestigmine, acetylcholinesterase inhibitor, donepezil/memantine, caracemide, atropine/edrophonium, BW 284 C 51, neostigmine, 2,3 butanedione monoxime, echothiophate, tacrine, edrophonium, isoflurophate, pyridostigmine, demecarium, ambenonium, donepezil, pralidoxime, rivastigmine, gallamine triethiodide, thiamine, huperzine A, physostigmine, galanthamine	
NM_000665	D	ACHE	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	ZT-1, ladostigil, terestigmine, acetylcholinesterase inhibitor, donepezil/memantine, caracemide, atropine/edrophonium, BW 284 C 51, neostigmine, 2,3 butanedione monoxime, echothiophate, tacrine, edrophonium, isoflurophate, pyridostigmine, demecarium, ambenonium, donepezil, pralidoxime, rivastigmine, gallamine triethiodide, thiamine, huperzine A, physostigmine, galanthamine	
NM_001302621	D	ACHE	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	ZT-1, ladostigil, terestigmine, acetylcholinesterase inhibitor, donepezil/memantine, caracemide, atropine/edrophonium, BW 284 C 51, neostigmine, 2,3 butanedione monoxime, echothiophate, tacrine, edrophonium, isoflurophate, pyridostigmine, demecarium, ambenonium, donepezil, pralidoxime, rivastigmine, gallamine triethiodide, thiamine, huperzine A, physostigmine, galanthamine	
NM_001302622	D	ACHE	acetylcholinesterase (Yt blood group)	Plasma Membrane	enzyme	ZT-1, ladostigil, terestigmine, acetylcholinesterase inhibitor, donepezil/memantine, caracemide, atropine/edrophonium, BW 284 C 51, neostigmine, 2,3 butanedione monoxime, echothiophate, tacrine, edrophonium, isoflurophate, pyridostigmine, demecarium, ambenonium, donepezil, pralidoxime, rivastigmine, gallamine triethiodide, thiamine, huperzine A, physostigmine, galanthamine	
NM_020311	 	ACKR3	atypical chemokine receptor 3	Plasma Membrane	G-protein coupled receptor	 	
NM_001096	D	ACLY	ATP citrate lyase	Cytoplasm	enzyme	 	
NM_001303274	D	ACLY	ATP citrate lyase	Cytoplasm	enzyme	 	
NM_001303275	D	ACLY	ATP citrate lyase	Cytoplasm	enzyme	 	
NM_198830	D	ACLY	ATP citrate lyase	Cytoplasm	enzyme	 	
NM_001098	 	ACO2	aconitase 2	Cytoplasm	enzyme	 	
NM_001037161	 	ACOT1	acyl-CoA thioesterase 1	Cytoplasm	enzyme	 	
NM_147161	D	ACOT11	acyl-CoA thioesterase 11	Cytoplasm	enzyme	 	
NM_015547	D	ACOT11	acyl-CoA thioesterase 11	Cytoplasm	enzyme	 	
NR_046028	D	ACOT2	acyl-CoA thioesterase 2	Cytoplasm	enzyme	 	
NM_006821	D	ACOT2	acyl-CoA thioesterase 2	Cytoplasm	enzyme	 	
NM_152331	 	ACOT4	acyl-CoA thioesterase 4	Cytoplasm	enzyme	 	
NM_001037162	 	ACOT6	acyl-CoA thioesterase 6	Cytoplasm	other	 	
NM_007274	D	ACOT7	acyl-CoA thioesterase 7	Cytoplasm	enzyme	 	
NM_181865	D	ACOT7	acyl-CoA thioesterase 7	Cytoplasm	enzyme	 	
NM_181864	D	ACOT7	acyl-CoA thioesterase 7	Cytoplasm	enzyme	 	
NM_181866	D	ACOT7	acyl-CoA thioesterase 7	Cytoplasm	enzyme	 	
NM_005469	 	ACOT8	acyl-CoA thioesterase 8	Cytoplasm	enzyme	 	
NM_003500	 	ACOX2	acyl-CoA oxidase 2, branched chain	Cytoplasm	enzyme	 	
NM_003501	D	ACOX3	acyl-CoA oxidase 3, pristanoyl	Cytoplasm	enzyme	 	
NM_001101667	D	ACOX3	acyl-CoA oxidase 3, pristanoyl	Cytoplasm	enzyme	 	
NM_001142807	 	ACOXL	acyl-CoA oxidase-like	Other	enzyme	 	
NM_007099	D	ACP1	acid phosphatase 1, soluble	Cytoplasm	phosphatase	 	
