ID	Notes	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
NM_001252677	D	ACSS1	acyl-CoA synthetase short-chain family member 1	Cytoplasm	enzyme	 	
NM_001252676	D	ACSS1	acyl-CoA synthetase short-chain family member 1	Cytoplasm	enzyme	 	
NM_024560	 	ACSS3	acyl-CoA synthetase short-chain family member 3	Cytoplasm	enzyme	 	
NM_001199893	D	ACTG2	actin, gamma 2, smooth muscle, enteric	Cytoplasm	other	 	
NM_001615	D	ACTG2	actin, gamma 2, smooth muscle, enteric	Cytoplasm	other	 	
NM_177989	D	ACTL6A	actin like 6A	Nucleus	other	 	
NM_004301	D	ACTL6A	actin like 6A	Nucleus	other	 	
NM_178042	D	ACTL6A	actin like 6A	Nucleus	other	 	
NM_006686	 	ACTL7B	actin like 7B	Cytoplasm	other	 	
NM_030812	 	ACTL8	actin like 8	Cytoplasm	other	 	
NM_001130005	D	ACTN1	actinin, alpha 1	Cytoplasm	transcription regulator	 	
NM_001130004	D	ACTN1	actinin, alpha 1	Cytoplasm	transcription regulator	 	
NM_001102	D	ACTN1	actinin, alpha 1	Cytoplasm	transcription regulator	 	
NM_018477	 	ACTR10	actin-related protein 10 homolog (S. cerevisiae)	Cytoplasm	other	 	
NM_005736	 	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	Cytoplasm	other	 	
NM_001005386	D	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Plasma Membrane	other	 	
NM_005722	D	ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Plasma Membrane	other	 	
NM_001277140	D	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Plasma Membrane	other	 	
NM_005721	D	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Plasma Membrane	other	 	
NR_102318	D	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Plasma Membrane	other	 	
NM_001105	D	ACVR1	activin A receptor type I	Plasma Membrane	kinase	 	
NM_001111067	D	ACVR1	activin A receptor type I	Plasma Membrane	kinase	 	
NM_004302	D	ACVR1B	activin A receptor type IB	Plasma Membrane	kinase	 	
NM_020327	D	ACVR1B	activin A receptor type IB	Plasma Membrane	kinase	 	
NM_020328	D	ACVR1B	activin A receptor type IB	Plasma Membrane	kinase	 	
NM_001616	D	ACVR2A	activin A receptor type IIA	Plasma Membrane	kinase	 	
NM_001278580	D	ACVR2A	activin A receptor type IIA	Plasma Membrane	kinase	 	
NM_001278579	D	ACVR2A	activin A receptor type IIA	Plasma Membrane	kinase	 	
NM_001106	 	ACVR2B	activin A receptor type IIB	Plasma Membrane	kinase	 	
NR_028389	 	ACVR2B-AS1	ACVR2B antisense RNA 1	Other	other	 	
NM_080658	 	ACY3	aminoacylase 3	Cytoplasm	enzyme	 	
NM_001107	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NR_126395	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NR_126394	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NR_126393	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NM_001302617	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NM_001302616	D	ACYP1	acylphosphatase 1, erythrocyte (common) type	Cytoplasm	enzyme	 	
NM_000022	 	ADA	adenosine deaminase	Cytoplasm	enzyme	pentostatin, aspirin/dipyridamole/telmisartan, cyclophosphamide/pentostatin/rituximab, pentostatin/rituximab, alemtuzumab/pentostatin, adenosine deaminase inhibitor, dipyridamole, aspirin/dipyridamole, vidarabine	
NM_001159295	D	ADAD1	adenosine deaminase domain containing 1	Nucleus	peptidase	 	
NM_139243	D	ADAD1	adenosine deaminase domain containing 1	Nucleus	peptidase	 	
NM_001159285	D	ADAD1	adenosine deaminase domain containing 1	Nucleus	peptidase	 	
NM_033274	 	ADAM19	ADAM metallopeptidase domain 19	Plasma Membrane	peptidase	 	
NM_001464	D	ADAM2	ADAM metallopeptidase domain 2	Plasma Membrane	peptidase	 	
NM_001278114	D	ADAM2	ADAM metallopeptidase domain 2	Plasma Membrane	peptidase	 	
NM_001278113	D	ADAM2	ADAM metallopeptidase domain 2	Plasma Membrane	peptidase	 	
NR_037933	 	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	Other	other	 	
NM_021723	D	ADAM22	ADAM metallopeptidase domain 22	Plasma Membrane	peptidase	 	
NM_021722	D	ADAM22	ADAM metallopeptidase domain 22	Plasma Membrane	peptidase	 	
NM_016351	D	ADAM22	ADAM metallopeptidase domain 22	Plasma Membrane	peptidase	 	
NM_001313994	D	ADAM32	ADAM metallopeptidase domain 32	Other	peptidase	 	
NM_145004	D	ADAM32	ADAM metallopeptidase domain 32	Other	peptidase	 	
NM_003816	D	ADAM9	ADAM metallopeptidase domain 9	Plasma Membrane	peptidase	 	
NR_027638	D	ADAM9	ADAM metallopeptidase domain 9	Plasma Membrane	peptidase	 	
NR_027639	D	ADAM9	ADAM metallopeptidase domain 9	Plasma Membrane	peptidase	 	
NR_027878	D	ADAM9	ADAM metallopeptidase domain 9	Plasma Membrane	peptidase	 	
NM_014479	D	ADAMDEC1	ADAM-like, decysin 1	Extracellular Space	peptidase	 	
NM_001145271	D	ADAMDEC1	ADAM-like, decysin 1	Extracellular Space	peptidase	 	
NM_001145272	D	ADAMDEC1	ADAM-like, decysin 1	Extracellular Space	peptidase	 	
NM_025003	 	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	Extracellular Space	peptidase	 	
NM_014243	 	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	Extracellular Space	peptidase	 	
NM_005099	 	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	Extracellular Space	peptidase	 	
NM_197941	 	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	Extracellular Space	peptidase	 	
NR_045529	 	ADAMTS7P1	ADAMTS7 pseudogene 1	Other	other	 	
NR_038264	 	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	Other	other	 	
NM_001160230	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NR_073200	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NR_027674	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NR_027672	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NR_027673	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NM_001112	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NM_015833	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NM_015834	D	ADARB1	adenosine deaminase, RNA-specific, B1	Nucleus	enzyme	 	
NM_001286259	D	ADAT2	adenosine deaminase, tRNA-specific 2	Nucleus	enzyme	 	
NM_182503	D	ADAT2	adenosine deaminase, tRNA-specific 2	Nucleus	enzyme	 	
NM_001142545	D	ADCK1	aarF domain containing kinase 1	Cytoplasm	kinase	 	
NM_020421	D	ADCK1	aarF domain containing kinase 1	Cytoplasm	kinase	 	
NM_021116	D	ADCY1	adenylate cyclase 1 (brain)	Plasma Membrane	enzyme	 	
NM_001281768	D	ADCY1	adenylate cyclase 1 (brain)	Plasma Membrane	enzyme	 	
NM_020546	 	ADCY2	adenylate cyclase 2 (brain)	Plasma Membrane	enzyme	 	
NM_183357	D	ADCY5	adenylate cyclase 5	Plasma Membrane	enzyme	 	
NM_001199642	D	ADCY5	adenylate cyclase 5	Plasma Membrane	enzyme	 	
NM_015270	 	ADCY6	adenylate cyclase 6	Plasma Membrane	enzyme	 	
NM_001286057	 	ADCY7	adenylate cyclase 7	Plasma Membrane	enzyme	 	
NM_001185054	D	ADD2	adducin 2	Cytoplasm	other	 	
NM_001185055	D	ADD2	adducin 2	Cytoplasm	other	 	
NM_001617	D	ADD2	adducin 2	Cytoplasm	other	 	
NM_017482	D	ADD2	adducin 2	Cytoplasm	other	 	
NM_017488	D	ADD2	adducin 2	Cytoplasm	other	 	
NM_024694	 	ADGB	androglobin	Other	other	 	
NM_145290	 	ADGRA3	adhesion G protein-coupled receptor A3	Plasma Membrane	G-protein coupled receptor	 	
NM_001704	 	ADGRB3	adhesion G protein-coupled receptor B3	Plasma Membrane	G-protein coupled receptor	 	
NM_198827	 	ADGRD1	adhesion G protein-coupled receptor D1	Plasma Membrane	G-protein coupled receptor	 	
NM_001271052	D	ADGRE2	adhesion G protein-coupled receptor E2	Plasma Membrane	other	 	
NM_013447	D	ADGRE2	adhesion G protein-coupled receptor E2	Plasma Membrane	other	 	
NM_001289158	D	ADGRE3	adhesion G protein-coupled receptor E3	Plasma Membrane	G-protein coupled receptor	 	
NM_001289159	D	ADGRE3	adhesion G protein-coupled receptor E3	Plasma Membrane	G-protein coupled receptor	 	
NM_032571	D	ADGRE3	adhesion G protein-coupled receptor E3	Plasma Membrane	G-protein coupled receptor	 	
NM_001025160	D	ADGRE5	adhesion G protein-coupled receptor E5	Plasma Membrane	G-protein coupled receptor	 	
NM_001784	D	ADGRE5	adhesion G protein-coupled receptor E5	Plasma Membrane	G-protein coupled receptor	 	
NM_078481	D	ADGRE5	adhesion G protein-coupled receptor E5	Plasma Membrane	G-protein coupled receptor	 	
NM_153834	 	ADGRG4	adhesion G protein-coupled receptor G4	Plasma Membrane	G-protein coupled receptor	 	
NM_020455	D	ADGRG6	adhesion G protein-coupled receptor G6	Plasma Membrane	G-protein coupled receptor	 	
NM_001032394	D	ADGRG6	adhesion G protein-coupled receptor G6	Plasma Membrane	G-protein coupled receptor	 	
NM_001032395	D	ADGRG6	adhesion G protein-coupled receptor G6	Plasma Membrane	G-protein coupled receptor	 	
NM_198569	D	ADGRG6	adhesion G protein-coupled receptor G6	Plasma Membrane	G-protein coupled receptor	 	
NM_001297706	D	ADGRL2	adhesion G protein-coupled receptor L2	Plasma Membrane	G-protein coupled receptor	 	
NM_001297704	D	ADGRL2	adhesion G protein-coupled receptor L2	Plasma Membrane	G-protein coupled receptor	 	
NM_001297705	D	ADGRL2	adhesion G protein-coupled receptor L2	Plasma Membrane	G-protein coupled receptor	 	
NM_012302	D	ADGRL2	adhesion G protein-coupled receptor L2	Plasma Membrane	G-protein coupled receptor	 	
NM_015236	 	ADGRL3	adhesion G protein-coupled receptor L3	Plasma Membrane	G-protein coupled receptor	 	
NR_110595	 	ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1	Other	other	 	
NM_032119	D	ADGRV1	adhesion G protein-coupled receptor V1	Plasma Membrane	G-protein coupled receptor	 	
NR_003149	D	ADGRV1	adhesion G protein-coupled receptor V1	Plasma Membrane	G-protein coupled receptor	 	
NM_144650	 	ADHFE1	alcohol dehydrogenase, iron containing 1	Cytoplasm	enzyme	 	
NM_001290629	D	ADIPOR1	adiponectin receptor 1	Plasma Membrane	transmembrane receptor	 	
NM_001290557	D	ADIPOR1	adiponectin receptor 1	Plasma Membrane	transmembrane receptor	 	
NM_001290553	D	ADIPOR1	adiponectin receptor 1	Plasma Membrane	transmembrane receptor	 	
NM_015999	D	ADIPOR1	adiponectin receptor 1	Plasma Membrane	transmembrane receptor	 	
NM_006721	D	ADK	adenosine kinase	Nucleus	kinase	adenosine kinase inhibitor, pegintron/ribavirin, PEG-interferon alfa-2a/ribavirin, nitazoxanide/peginterferon alfa-2a/ribavirin, interferon alfacon-1/ribavirin, interferon alfa-2b/ribavirin, ribavirin	
NM_001123	D	ADK	adenosine kinase	Nucleus	kinase	adenosine kinase inhibitor, pegintron/ribavirin, PEG-interferon alfa-2a/ribavirin, nitazoxanide/peginterferon alfa-2a/ribavirin, interferon alfacon-1/ribavirin, interferon alfa-2b/ribavirin, ribavirin	
NM_001202450	D	ADK	adenosine kinase	Nucleus	kinase	adenosine kinase inhibitor, pegintron/ribavirin, PEG-interferon alfa-2a/ribavirin, nitazoxanide/peginterferon alfa-2a/ribavirin, interferon alfacon-1/ribavirin, interferon alfa-2b/ribavirin, ribavirin	
NM_001202449	D	ADK	adenosine kinase	Nucleus	kinase	adenosine kinase inhibitor, pegintron/ribavirin, PEG-interferon alfa-2a/ribavirin, nitazoxanide/peginterferon alfa-2a/ribavirin, interferon alfacon-1/ribavirin, interferon alfa-2b/ribavirin, ribavirin	
NM_032804	 	ADO	2-aminoethanethiol (cysteamine) dioxygenase	Cytoplasm	other	 	
NM_000676	 	ADORA2B	adenosine A2b receptor	Plasma Membrane	G-protein coupled receptor	adenosine, enprofylline, dyphylline, aspirin/butalbital/caffeine, acetaminophen/caffeine/dihydrocodeine, acetaminophen/aspirin/caffeine, caffeine/ergotamine, aspirin/caffeine/propoxyphene, aspirin/butalbital/caffeine/codeine, aspirin/caffeine/dihydrocodeine, acetaminophen/butalbital/caffeine, aminophylline, aspirin/caffeine/orphenadrine, acetaminophen/butalbital/caffeine/codeine, theophylline, caffeine, acetaminophen/caffeine/chlorpheniramine/hydrocodone/phenylephrine	
NM_138430	D	ADPRHL1	ADP-ribosylhydrolase like 1	Other	enzyme	 	
NM_199162	D	ADPRHL1	ADP-ribosylhydrolase like 1	Other	enzyme	 	
